"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","Deprivation","Stage","NDRS main","NDRS detailed","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
"2022","Persons","70 to 79","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Melanoma","74","Non-standardised","102.6","80.6","128.8",NA
"2022","Persons","70 to 79","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Rare","9","Non-standardised","12.5","5.7","23.7",NA
"2022","Persons","70 to 79","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","cSCC","264","Non-standardised","366.1","323.3","413",NA
"2022","Persons","80 and over","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","All Bowel","170","Non-standardised","429.3","367.2","499",NA
"2022","Persons","80 and over","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Colon","130","Non-standardised","328.3","274.3","389.9",NA
"2022","Persons","80 and over","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectosigmoid junction","12","Non-standardised","30.3","15.6","52.9",NA
"2022","Persons","80 and over","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectum","28","Non-standardised","70.7","47","102.2",NA
"2022","Persons","80 and over","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Breast","All Breast","123","Non-standardised","310.6","258.2","370.6",NA
"2022","Persons","80 and over","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","All Lung","128","Non-standardised","323.3","269.7","384.4",NA
"2022","Persons","80 and over","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Non-small cell lung cancer","117","Non-standardised","295.5","244.4","354.1",NA
"2022","Persons","80 and over","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Small cell lung cancer","11","Non-standardised","27.8","13.8","49.7",NA
"2022","Persons","80 and over","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","All Skin cancer","1165","Non-standardised","2942.2","2775.7","3116.1",NA
"2022","Persons","80 and over","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","BCC","721","Non-standardised","1820.9","1690.4","1958.8",NA
"2022","Persons","80 and over","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Melanoma","44","Non-standardised","111.1","80.7","149.2",NA
"2022","Persons","80 and over","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Rare","12","Non-standardised","30.3","15.6","52.9",NA
"2022","Persons","80 and over","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","cSCC","388","Non-standardised","979.9","884.8","1082.4",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Colon","415","Non-standardised","40.8","37","45",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Colon","415","Age-gender-standardised","50","45.2","55.1",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectosigmoid junction","33","Non-standardised","3.2","2.2","4.6",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectosigmoid junction","33","Age-gender-standardised","3.9","2.6","5.4",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectum","159","Non-standardised","15.6","13.3","18.3",NA
